DatabaseFingerprint,UnitId,ID_figurine,Type,Nom_datasheet
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:11,1,proxy,LAND RAIDER CRUSADER
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:74,1,proxy,LAND RAIDER
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:75,1,real,LAND RAIDER REDEEMER
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:79,1,proxy,LAND RAIDER
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:80,1,proxy,LAND RAIDER CRUSADER
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:81,1,real,LAND RAIDER REDEEMER
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:40,1,proxy,LAND RAIDER
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:41,1,proxy,LAND RAIDER CRUSADER
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:42,1,real,LAND RAIDER REDEEMER
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:70,1,proxy,LAND RAIDER
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:71,1,proxy,LAND RAIDER CRUSADER
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:72,1,real,LAND RAIDER REDEEMER
fnv1a-c57e67f4-35597364,book-34-grey-knights:unit:23,1,proxy,LAND RAIDER
fnv1a-c57e67f4-35597364,book-34-grey-knights:unit:24,1,proxy,LAND RAIDER CRUSADER
fnv1a-c57e67f4-35597364,book-34-grey-knights:unit:25,1,real,LAND RAIDER REDEEMER
fnv1a-c57e67f4-35597364,book-50-space-marines:unit:64,1,proxy,LAND RAIDER
fnv1a-c57e67f4-35597364,book-50-space-marines:unit:65,1,proxy,LAND RAIDER CRUSADER
fnv1a-c57e67f4-35597364,book-50-space-marines:unit:66,1,real,LAND RAIDER REDEEMER
fnv1a-c57e67f4-35597364,book-52-space-wolves:unit:82,1,proxy,LAND RAIDER
fnv1a-c57e67f4-35597364,book-52-space-wolves:unit:83,1,proxy,LAND RAIDER CRUSADER
fnv1a-c57e67f4-35597364,book-52-space-wolves:unit:84,1,real,LAND RAIDER REDEEMER
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:13,2,real,REPULSOR
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:14,2,proxy,REPULSOR EXECUTIONER
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:82,2,real,REPULSOR
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:83,2,proxy,REPULSOR EXECUTIONER
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:43,2,real,REPULSOR
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:44,2,proxy,REPULSOR EXECUTIONER
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:73,2,real,REPULSOR
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:74,2,proxy,REPULSOR EXECUTIONER
fnv1a-c57e67f4-35597364,book-50-space-marines:unit:67,2,real,REPULSOR
fnv1a-c57e67f4-35597364,book-50-space-marines:unit:68,2,proxy,REPULSOR EXECUTIONER
fnv1a-c57e67f4-35597364,book-52-space-wolves:unit:85,2,real,REPULSOR
fnv1a-c57e67f4-35597364,book-52-space-wolves:unit:86,2,proxy,REPULSOR EXECUTIONER
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:13,3,proxy,REPULSOR
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:14,3,real,REPULSOR EXECUTIONER
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:82,3,proxy,REPULSOR
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:83,3,real,REPULSOR EXECUTIONER
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:43,3,proxy,REPULSOR
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:44,3,real,REPULSOR EXECUTIONER
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:73,3,proxy,REPULSOR
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:74,3,real,REPULSOR EXECUTIONER
fnv1a-c57e67f4-35597364,book-50-space-marines:unit:67,3,proxy,REPULSOR
fnv1a-c57e67f4-35597364,book-50-space-marines:unit:68,3,real,REPULSOR EXECUTIONER
fnv1a-c57e67f4-35597364,book-52-space-wolves:unit:85,3,proxy,REPULSOR
fnv1a-c57e67f4-35597364,book-52-space-wolves:unit:86,3,real,REPULSOR EXECUTIONER
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:52,4,real,REDEMPTOR DREADNOUGHT
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:53,4,proxy,BRUTALIS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:54,4,proxy,BALLISTUS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:54,4,real,REDEMPTOR DREADNOUGHT
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:55,4,proxy,BRUTALIS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:56,4,proxy,BALLISTUS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:37,4,real,REDEMPTOR DREADNOUGHT
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:38,4,proxy,BRUTALIS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:39,4,proxy,BALLISTUS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:46,4,real,REDEMPTOR DREADNOUGHT
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:47,4,proxy,BRUTALIS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:48,4,proxy,BALLISTUS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-50-space-marines:unit:39,4,real,REDEMPTOR DREADNOUGHT
fnv1a-c57e67f4-35597364,book-50-space-marines:unit:40,4,proxy,BRUTALIS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-50-space-marines:unit:41,4,proxy,BALLISTUS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-52-space-wolves:unit:58,4,real,REDEMPTOR DREADNOUGHT
fnv1a-c57e67f4-35597364,book-52-space-wolves:unit:59,4,proxy,BRUTALIS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-52-space-wolves:unit:60,4,proxy,BALLISTUS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:52,5,proxy,REDEMPTOR DREADNOUGHT
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:53,5,proxy,BRUTALIS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:54,5,real,BALLISTUS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:54,5,proxy,REDEMPTOR DREADNOUGHT
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:55,5,proxy,BRUTALIS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:56,5,real,BALLISTUS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:37,5,proxy,REDEMPTOR DREADNOUGHT
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:38,5,proxy,BRUTALIS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:39,5,real,BALLISTUS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:46,5,proxy,REDEMPTOR DREADNOUGHT
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:47,5,proxy,BRUTALIS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:48,5,real,BALLISTUS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-50-space-marines:unit:39,5,proxy,REDEMPTOR DREADNOUGHT
fnv1a-c57e67f4-35597364,book-50-space-marines:unit:40,5,proxy,BRUTALIS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-50-space-marines:unit:41,5,real,BALLISTUS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-52-space-wolves:unit:58,5,proxy,REDEMPTOR DREADNOUGHT
fnv1a-c57e67f4-35597364,book-52-space-wolves:unit:59,5,proxy,BRUTALIS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-52-space-wolves:unit:60,5,real,BALLISTUS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:52,6,proxy,REDEMPTOR DREADNOUGHT
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:53,6,real,BRUTALIS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:54,6,proxy,BALLISTUS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:54,6,proxy,REDEMPTOR DREADNOUGHT
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:55,6,real,BRUTALIS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:56,6,proxy,BALLISTUS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:37,6,proxy,REDEMPTOR DREADNOUGHT
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:38,6,real,BRUTALIS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:39,6,proxy,BALLISTUS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:46,6,proxy,REDEMPTOR DREADNOUGHT
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:47,6,real,BRUTALIS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:48,6,proxy,BALLISTUS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-50-space-marines:unit:39,6,proxy,REDEMPTOR DREADNOUGHT
fnv1a-c57e67f4-35597364,book-50-space-marines:unit:40,6,real,BRUTALIS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-50-space-marines:unit:41,6,proxy,BALLISTUS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-52-space-wolves:unit:58,6,proxy,REDEMPTOR DREADNOUGHT
fnv1a-c57e67f4-35597364,book-52-space-wolves:unit:59,6,real,BRUTALIS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-52-space-wolves:unit:60,6,proxy,BALLISTUS DREADNOUGHT
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:59,7,real,LAND SPEEDER
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:61,7,real,LAND SPEEDER
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:19,7,real,LAND SPEEDER
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:53,7,real,LAND SPEEDER
fnv1a-c57e67f4-35597364,book-50-space-marines:unit:46,7,real,LAND SPEEDER
fnv1a-c57e67f4-35597364,book-52-space-wolves:unit:65,7,real,LAND SPEEDER
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:59,8,real,LAND SPEEDER
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:61,8,real,LAND SPEEDER
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:19,8,real,LAND SPEEDER
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:53,8,real,LAND SPEEDER
fnv1a-c57e67f4-35597364,book-50-space-marines:unit:46,8,real,LAND SPEEDER
fnv1a-c57e67f4-35597364,book-52-space-wolves:unit:65,8,real,LAND SPEEDER
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:59,9,real,LAND SPEEDER
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:61,9,real,LAND SPEEDER
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:19,9,real,LAND SPEEDER
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:53,9,real,LAND SPEEDER
fnv1a-c57e67f4-35597364,book-50-space-marines:unit:46,9,real,LAND SPEEDER
fnv1a-c57e67f4-35597364,book-52-space-wolves:unit:65,9,real,LAND SPEEDER
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:59,10,real,LAND SPEEDER
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:61,10,real,LAND SPEEDER
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:19,10,real,LAND SPEEDER
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:53,10,real,LAND SPEEDER
fnv1a-c57e67f4-35597364,book-50-space-marines:unit:46,10,real,LAND SPEEDER
fnv1a-c57e67f4-35597364,book-52-space-wolves:unit:65,10,real,LAND SPEEDER
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:70,11,proxy,WHIRLWIND
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:71,11,proxy,PREDATOR DESTRUCTOR
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:72,11,real,PREDATOR ANNIHILATOR
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:73,11,proxy,VINDICATOR
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:76,11,proxy,RHINO
fnv1a-c57e67f4-35597364,book-12-black-templars:unit:77,11,proxy,RAZORBACK
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:72,11,proxy,WHIRLWIND
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:73,11,proxy,PREDATOR DESTRUCTOR
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:74,11,real,PREDATOR ANNIHILATOR
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:78,11,proxy,VINDICATOR
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:84,11,proxy,RHINO
fnv1a-c57e67f4-35597364,book-14-blood-angels:unit:85,11,proxy,RAZORBACK
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:82,11,proxy,WHIRLWIND
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:83,11,proxy,PREDATOR DESTRUCTOR
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:84,11,real,PREDATOR ANNIHILATOR
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:88,11,proxy,VINDICATOR
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:89,11,proxy,RHINO
fnv1a-c57e67f4-35597364,book-21-dark-angels:unit:90,11,proxy,RAZORBACK
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:63,11,proxy,WHIRLWIND
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:64,11,proxy,PREDATOR DESTRUCTOR
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:65,11,real,PREDATOR ANNIHILATOR
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:69,11,proxy,VINDICATOR
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:75,11,proxy,RHINO
fnv1a-c57e67f4-35597364,book-25-deathwatch:unit:76,11,proxy,RAZORBACK
fnv1a-c57e67f4-35597364,book-34-grey-knights:unit:17,11,proxy,RHINO
fnv1a-c57e67f4-35597364,book-34-grey-knights:unit:18,11,proxy,RAZORBACK
fnv1a-c57e67f4-35597364,book-49-space-marines:unit:39,11,proxy,HUNTER
fnv1a-c57e67f4-35597364,book-49-space-marines:unit:40,11,proxy,STALKER
