faction,rank,kind,detachments,dp_cost,score_prudent,score_central,score_favorable,primary,secondary,inventory,rule_stratagem,enhancement,flexibility,interpretation_coverage_pct,evidence_confidence_pct,inference_share_pct,conditionality_pct,inference_count,unsupported_count
Space Marines,1,single,FORGEFATHER’S SEEKERS,2,89.37,96.91,98.24,98.52,98.01,100,88.51,100,100,90.91,88.24,7.78,34.2,17,1
Space Marines,2,combination,FORGEFATHER’S SEEKERS + VENGEFUL HOSTS,3,87.38,95.15,96.27,99.07,98.89,100,82.87,90.37,100,76.47,90,8.17,34.1,20,4
Space Marines,3,combination,FORGEFATHER’S SEEKERS + SUBVERSION ASSETS,3,85.53,94.64,95.21,99.95,100,97.38,84.34,85.57,95.05,64.71,85.19,9.63,28.75,27,6
Space Marines,4,single,RECLAMATION FORCE,2,88.24,94.28,95.24,99.99,95.87,98.75,78.67,100,96.51,72.73,76,6.41,36.94,15,3
Space Marines,5,single,FIRESTORM ASSAULT FORCE,2,85.98,93.55,95.25,94.81,96.88,99.52,81.8,91.02,100,100,88.89,8.09,36.56,18,0
Space Marines,6,combination,RECLAMATION FORCE + VENGEFUL HOSTS,3,87.49,93.14,94.04,100,96.29,99.08,77.72,88.35,97.51,64.71,80,6.07,36.43,18,6
Space Marines,7,combination,FIRESTORM ASSAULT FORCE + VENGEFUL HOSTS,3,85.74,93.04,94.72,97.67,97.29,99.66,79.57,83.37,100,82.35,90.48,7.85,36.2,21,3
Space Marines,8,single,IRONSTORM SPEARHEAD,2,86.81,92.89,94.52,98.75,95.57,98.35,81.13,85.15,96.71,81.82,76.25,6.55,33.46,16,2
Space Marines,9,single,BLADE OF ULTRAMAR,3,85.62,92.82,93.69,100,97.04,99.62,73.32,89.67,100,81.82,76.25,7.76,34.5,16,2
Space Marines,10,combination,FIRESTORM ASSAULT FORCE + SUBVERSION ASSETS,3,83.54,92.72,93.74,98.48,99.76,96.79,80.98,78.49,93.6,70.59,85.71,9.9,30.63,28,5
Space Marines,11,single,HAMMER OF AVERNII,2,85.28,92.63,93.8,100,97.45,99.86,77.4,79.22,97.91,90.91,76.47,7.93,41.59,17,1
Space Marines,12,combination,RECLAMATION FORCE + SUBVERSION ASSETS,3,85.27,92.58,93.63,100,98.66,96.12,79.38,82.91,90.4,52.94,77.6,7.9,29.67,25,8
Space Marines,13,combination,HAMMER OF AVERNII + VENGEFUL HOSTS,3,85.48,92.45,93.49,100,97.61,100,77.08,76.9,98.91,76.47,80,7.54,40.6,20,4
Space Marines,14,combination,IRONSTORM SPEARHEAD + VENGEFUL HOSTS,3,86.67,92.38,93.76,100,95.92,98.58,79.04,79.86,97.71,70.59,80,6.18,33.44,19,5
Space Marines,15,combination,ANVIL SIEGE FORCE + VENGEFUL HOSTS,3,86.07,92.14,93.6,100,97.17,99.19,78.54,73.54,98.99,76.47,80,6.59,40.73,20,4
Space Marines,16,combination,SPEARPOINT TASK FORCE + VENGEFUL HOSTS,3,85.43,91.99,92.84,100,97.28,99.52,71.27,85.15,99.91,82.35,80,7.13,34.68,21,3
Space Marines,17,combination,IRONSTORM SPEARHEAD + SUBVERSION ASSETS,3,84.56,91.92,93.26,100,98.51,95.78,80.65,74.59,91,58.82,77.69,8.01,27.86,26,7
Space Marines,18,single,ANVIL SIEGE FORCE,2,85.61,91.91,93.94,98.91,96.38,98.83,80.3,73.09,97.99,90.91,76.47,6.85,41.79,17,1
Space Marines,19,single,GLADIUS TASK FORCE,3,85.62,91.9,93.08,99.25,95.67,98.15,73.11,89.67,98.31,72.73,76,6.83,35.95,15,3
Space Marines,20,combination,HAMMER OF AVERNII + SUBVERSION ASSETS,3,83.61,91.89,92.79,100,99.59,97.11,78.72,71.58,93.4,64.71,77.78,9.01,33.53,27,6
Space Marines,21,combination,BASTION TASK FORCE + VENGEFUL HOSTS,3,85.68,91.88,92.83,100,97.16,98.65,79.87,68.83,100,70.59,80,6.75,33.64,19,5
Space Marines,22,single,SPEARPOINT TASK FORCE,2,84.77,91.79,92.76,99.95,96.83,99.3,65.98,95.46,99.91,100,76.67,7.65,34.88,18,0
Space Marines,23,single,ORBITAL ASSAULT FORCE,2,86.42,91.75,92.75,96.15,93.55,97.31,74.43,99.71,96.31,72.73,76,5.81,35.14,15,3
Space Marines,24,combination,ANVIL SIEGE FORCE + SUBVERSION ASSETS,3,83.97,91.58,92.75,100,99.36,96.38,80.17,67.92,92.68,64.71,77.78,8.31,33.41,27,6
Space Marines,25,combination,ORBITAL ASSAULT FORCE + VENGEFUL HOSTS,3,86.31,91.54,92.35,99.23,94.25,97.44,75.61,87.1,96.31,64.71,80,5.71,34.88,18,6
Space Marines,26,combination,SPEARPOINT TASK FORCE + SUBVERSION ASSETS,3,83.44,91.43,92.23,100,99.6,96.63,72.99,79.98,92.2,70.59,77.86,8.74,28.92,28,5
Space Marines,27,combination,EMPEROR’S SHIELD + VENGEFUL HOSTS,3,85.04,91.41,92.31,100,96.12,99.37,78.18,70.43,96.51,76.47,80,6.97,38.2,20,4
Space Marines,28,combination,BASTION TASK FORCE + SUBVERSION ASSETS,3,83.39,91.32,92.05,100,99.29,95.94,81.53,63.67,92.8,58.82,77.69,8.68,27.9,26,7
Space Marines,29,combination,ORBITAL ASSAULT FORCE + SUBVERSION ASSETS,3,84.02,91.29,92.2,100,97.13,94.74,77.29,81.73,88.6,52.94,77.6,7.96,28.47,25,8
Space Marines,30,combination,FORGEFATHER’S SEEKERS + FULGURIS TASK FORCE,3,83.41,91.16,92.39,99.3,98.01,100,81.62,54.74,100,82.35,86.67,8.5,33.43,21,3
Space Marines,31,single,BASTION TASK FORCE,2,84.76,91.09,92.66,97.68,95.99,98.46,82.96,62.8,99.91,81.82,76.25,6.95,33.68,16,2
Space Marines,32,combination,1ST COMPANY TASK FORCE + VENGEFUL HOSTS,3,85.03,90.95,92.17,100,96.25,98.63,78.38,66.29,97.11,70.59,80,6.51,41.77,19,5
Space Marines,33,combination,EMPEROR’S SHIELD + SUBVERSION ASSETS,3,83.16,90.88,91.93,100,98.31,96.48,79.74,65.04,91,64.71,77.78,8.49,31.76,27,6
Space Marines,34,single,EMPEROR’S SHIELD,2,84.39,90.72,92.03,98.9,95.29,99.01,79.34,66.67,95.51,90.91,76.47,6.98,38.86,17,1
Space Marines,35,single,CERAMITE SENTINELS,3,84.09,90.45,91.31,100,95.99,97.72,71.98,75.81,98.71,90.91,76.47,7.03,35.61,17,1
Space Marines,36,combination,SUBVERSION ASSETS + VENGEFUL HOSTS,2,83.3,90.38,91.29,99.96,97.34,94.64,78.57,69.78,88.6,33.33,80,7.83,25.64,20,8
Space Marines,37,combination,1ST COMPANY TASK FORCE + SUBVERSION ASSETS,3,83.16,90.34,91.69,100,98.23,95.65,80,60.72,91.6,58.82,77.69,7.95,34.17,26,7
Space Marines,38,single,1ST COMPANY TASK FORCE,2,84.1,90.23,91.59,99.76,95.96,98.28,79.88,58.5,96.11,81.82,76.25,6.79,42.98,16,2
Space Marines,39,single,STORMLANCE TASK FORCE,3,83.35,89.9,91.38,98.86,95.56,99.02,61.85,90.6,100,90.91,76.47,7.29,32.82,17,1
Space Marines,40,combination,HEADHUNTER TASK FORCE + VENGEFUL HOSTS,3,84.27,89.67,90.54,99.62,94.83,97.46,68.21,81.03,96.11,64.71,80,6.02,33.84,18,6
Space Marines,41,single,VENGEFUL HOSTS,1,84.81,89.66,91.13,96.46,93.68,96.92,76.82,74.92,94.11,50,80,5.41,32.83,10,3
Space Marines,42,combination,HEADHUNTER TASK FORCE + SUBVERSION ASSETS,3,82.42,89.49,90.28,100,97.93,94.8,69.88,76.38,88.6,52.94,77.6,7.9,27.95,25,8
Space Marines,43,single,ARMOURED SPEARTIP,3,83.2,89.43,90.36,99.99,94.86,97.69,62.23,89.14,96.31,100,76.67,6.97,39.89,18,0
Space Marines,44,combination,VANGUARD SPEARHEAD + VENGEFUL HOSTS,3,83.4,89.38,90.38,99.89,96.05,98.42,67.55,72.62,98.71,64.71,80,6.69,37.93,18,6
Space Marines,45,combination,FULGURIS TASK FORCE + RECLAMATION FORCE,3,83.19,89.15,90.1,100,95.91,98.82,76.5,52.44,97.31,70.59,76.84,6.69,35.58,19,5
Space Marines,46,combination,SHADOWMARK TALON + VENGEFUL HOSTS,3,83.48,89.08,89.82,99.58,96.2,97.74,66.18,74.67,97.31,70.59,80,6.29,38.21,19,5
Space Marines,47,combination,SUBVERSION ASSETS + VANGUARD SPEARHEAD,3,81.45,88.82,89.9,100,98.3,95.58,69.28,67.18,91,52.94,77.6,8.3,30.59,25,8
Space Marines,48,combination,FIRESTORM ASSAULT FORCE + FULGURIS TASK FORCE,3,81.43,88.75,90.38,95.93,96.88,99.52,78.31,47.74,100,88.24,87.27,8.25,35.55,22,2
Space Marines,49,combination,SHADOWMARK TALON + SUBVERSION ASSETS,3,81.49,88.68,89.36,100,98.57,94.99,68.02,69.23,90.2,58.82,77.69,8.11,30.92,26,7
Space Marines,50,combination,FULGURIS TASK FORCE + HAMMER OF AVERNII,3,81.51,88.61,89.61,100,97.6,99.93,75.86,41.16,98.71,82.35,77.14,8.01,39.8,21,3
Space Marines,51,combination,FULGURIS TASK FORCE + IRONSTORM SPEARHEAD,3,82.47,88.4,89.73,99.73,95.66,98.42,77.8,44.23,97.51,76.47,77,6.71,32.72,20,4
Space Marines,52,combination,FULGURIS TASK FORCE + SUBVERSION ASSETS + VENGEFUL HOSTS,3,81.71,88.33,89.16,99.99,97.34,96.14,77.3,46.97,92.17,44.44,80,7.49,26.02,24,10
Space Marines,53,combination,ANVIL SIEGE FORCE + FULGURIS TASK FORCE,3,81.87,88.06,89.72,99.83,96.53,98.9,77.32,37.79,98.79,82.35,77.14,7.03,39.9,21,3
Space Marines,54,combination,FULGURIS TASK FORCE + SPEARPOINT TASK FORCE,3,81.38,88.03,88.95,100,96.83,99.3,70.07,49.52,99.91,88.24,77.27,7.55,33.96,22,2
Space Marines,55,single,HEADHUNTER TASK FORCE,2,82.49,88,89.02,98.14,94.28,97.23,59.68,86.63,95.11,72.73,76,6.26,33.92,15,3
