faction,rank,kind,detachments,sources,dp_cost,chapter_lock,force_dispositions,score_total,score_primary,score_secondary,score_inventory,score_rule_stratagem,score_enhancement,score_flexibility,coverage_pct,confidence,supported,partial,unsupported
Space Marines,1,single,FORGEFATHER’S SEEKERS,Salamanders,2,Salamanders,PRIORITY ASSETS,89.37,85.82,87.94,94.43,84.52,98.61,91.31,47.27,medium,1,7,3
Space Marines,2,single,RECLAMATION FORCE,Ultramarines,2,Ultramarines,TAKE AND HOLD,88.24,88.72,88.55,94.43,75.29,98.47,91.31,27.27,low,0,5,6
Space Marines,3,combination,RECLAMATION FORCE + VENGEFUL HOSTS,Ultramarines + Space Marines,3,Ultramarines,TAKE AND HOLD,87.49,90.69,90.4,94.43,74.29,84.45,91.31,36.97,low,1,8,8
Space Marines,4,combination,FORGEFATHER’S SEEKERS + VENGEFUL HOSTS,Salamanders + Space Marines,3,Salamanders,PRIORITY ASSETS + TAKE AND HOLD,87.38,85.89,90.08,94.43,78.91,84.52,91.31,46.97,medium,2,10,5
Space Marines,5,single,IRONSTORM SPEARHEAD,Space Marines,2,,TAKE AND HOLD,86.81,88.66,87.97,94.43,77.52,81.25,91.31,38.18,low,0,7,4
Space Marines,6,combination,IRONSTORM SPEARHEAD + VENGEFUL HOSTS,Space Marines + Space Marines,3,,TAKE AND HOLD,86.67,90.58,89.75,94.43,75.41,75.84,91.31,42.43,medium,1,10,6
Space Marines,7,single,ORBITAL ASSAULT FORCE,Space Marines,2,,TAKE AND HOLD,86.42,86.93,87.03,94.43,71.07,96.11,91.31,27.27,low,0,5,6
Space Marines,8,combination,ORBITAL ASSAULT FORCE + VENGEFUL HOSTS,Space Marines + Space Marines,3,,TAKE AND HOLD,86.31,89.01,89.15,94.43,72.19,83.27,91.31,36.97,low,1,8,8
Space Marines,9,combination,ANVIL SIEGE FORCE + VENGEFUL HOSTS,Space Marines + Space Marines,3,,TAKE AND HOLD,86.07,90.58,89.75,94.43,75.1,70.46,91.31,39.7,low,1,9,7
Space Marines,10,single,FIRESTORM ASSAULT FORCE,Space Marines,2,,PRIORITY ASSETS,85.98,82.8,87.67,94.43,77.66,85.21,91.31,47.27,medium,1,7,3
Space Marines,11,combination,FIRESTORM ASSAULT FORCE + VENGEFUL HOSTS,Space Marines + Space Marines,3,,PRIORITY ASSETS + TAKE AND HOLD,85.74,85.12,89.54,94.43,75.48,77.82,91.31,46.97,medium,2,10,5
Space Marines,12,combination,BASTION TASK FORCE + VENGEFUL HOSTS,Space Marines + Space Marines,3,,TAKE AND HOLD,85.68,89.91,90.08,94.43,76.44,64.41,91.31,36.97,low,1,8,8
Space Marines,13,single,BLADE OF ULTRAMAR,Ultramarines,3,Ultramarines,PRIORITY ASSETS,85.62,88.6,87.94,94.43,69.8,85.07,91.31,32.73,low,0,6,5
