LegacyUnitId,ID_figurine,Type,Reason
"book-49-space-marines:unit:39","11","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:40","11","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:39","14","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:40","14","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:39","15","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:40","15","proxy","Datasheet absent du catalogue V11"
"book-59-ultramarines:unit:6","16","real","Datasheet absent du catalogue V11"
"book-59-ultramarines:unit:6","17","real","Datasheet absent du catalogue V11"
"book-21-dark-angels:unit:14","22","real","Datasheet absent du catalogue V11"
"book-48-salamanders:unit:1","24","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:28","26","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:28","27","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:28","28","proxy","Datasheet absent du catalogue V11"
"book-13-blood-angels:unit:0","34","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:28","36","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:32","137","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:32","138","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:32","139","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:30","165","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:30","166","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:30","167","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:30","168","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:30","169","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:30","170","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:30","171","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:30","172","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:30","173","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:30","174","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:30","175","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:30","176","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:30","177","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:30","178","proxy","Datasheet absent du catalogue V11"
"book-49-space-marines:unit:30","179","proxy","Datasheet absent du catalogue V11"
